sector,symbol,company,announcement_id,date,fiscal_year,title,source_url,attachment_url,file
Development Banks,CORBL,Corporate Development Bank Limited,67425,2026-09-16,083-084,"Corporate Development Bank Limited has published a notice regarding new interest rate on deposit, loan and advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67425,https://images.merolagani.com//Uploads/Repository/639251393071781414.gif,Development Banks/CORBL - Corporate Development Bank Limited/2026-09-16_CORBL_67425.gif
Development Banks,GBBL,Garima Bikas Bank Limited,67424,2026-09-16,083-084,"Garima Bikas Bank Limited has published a notice regarding the new interest rate for its deposits, loans & advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67424,https://images.merolagani.com//Uploads/Repository/639251471665277702.gif,Development Banks/GBBL - Garima Bikas Bank Limited/2026-09-16_GBBL_67424.gif
Development Banks,GRDBL,Green Development Bank Ltd.,67423,2026-09-16,083-084,"Green Development Bank Limited has published a notice regarding new interest rate on deposit, loan & advance which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67423,https://images.merolagani.com//Uploads/Repository/639251351081689096.gif,Development Banks/GRDBL - Green Development Bank Ltd/2026-09-16_GRDBL_67423.gif
Development Banks,JBBL,Jyoti Bikas Bank Limited,67422,2026-09-16,083-084,"Jyoti Bikas Bank Limited has published a notice regarding new interest rates on deposit, loan and advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67422,https://images.merolagani.com//Uploads/Repository/639251493867112210.gif,Development Banks/JBBL - Jyoti Bikas Bank Limited/2026-09-16_JBBL_67422.gif
Development Banks,KSBBL,Kamana Sewa Bikas Bank Limited,67421,2026-09-16,083-084,"Kamana Sewa Bikas Bank Limited has published a notice regarding new interest rate on deposits, loans & advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67421,https://images.merolagani.com//Uploads/Repository/639251421095025264.gif,Development Banks/KSBBL - Kamana Sewa Bikas Bank Limited/2026-09-16_KSBBL_67421.gif
Development Banks,LBBL,Lumbini Bikas Bank Ltd.,67420,2026-09-16,083-084,"Lumbini Bikash Bank Limited has published a notice regarding new interest rate on deposit and loan which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67420,https://images.merolagani.com//Uploads/Repository/639251506860642368.gif,Development Banks/LBBL - Lumbini Bikas Bank Ltd/2026-09-16_LBBL_67420.gif
Development Banks,MLBL,Mahalaxmi Bikas Bank Ltd.,67419,2026-09-16,083-084,"Mahalaxmi Bikas Bank Limited has published a notice regarding new interest rate on deposit, loan & advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67419,https://images.merolagani.com//Uploads/Repository/639251463343815465.gif,Development Banks/MLBL - Mahalaxmi Bikas Bank Ltd/2026-09-16_MLBL_67419.gif
Development Banks,MNBBL,Muktinath Bikas Bank Ltd.,67418,2026-09-16,083-084,"Muktinath Bikas Bank Limited has published a notice regarding new interest rate on deposits and loans which is going to be effectively from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67418,https://images.merolagani.com//Uploads/Repository/639251404219896088.gif,Development Banks/MNBBL - Muktinath Bikas Bank Ltd/2026-09-16_MNBBL_67418.gif
Development Banks,NABBC,Narayani Development Bank Limited,67417,2026-09-16,083-084,"Narayani Development Bank Limited has published a notice regarding interest rate on deposit, loan & advances which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67417,https://images.merolagani.com//Uploads/Repository/639251502266744472.gif,Development Banks/NABBC - Narayani Development Bank Limited/2026-09-16_NABBC_67417.gif
Development Banks,SABBL,Salapa Bikas Bank Limited,67416,2026-09-16,083-084,"Salapa Bikas Bank Limited has published a notice regarding new interest rate on deposits and loans product which is going to be effective from Ashwin 01, 2083",https://merolagani.com/AnnouncementDetail.aspx?id=67416,https://images.merolagani.com//Uploads/Repository/639251420156134172.gif,Development Banks/SABBL - Salapa Bikas Bank Limited/2026-09-16_SABBL_67416.gif
